,地块编号,宗地位置,地块面积（平方米）,用途,限高,容积率,起始价格（万元）
235,郑政出〔2018〕155号（网）,郑新大道东、站马屯路南,81799.51,城镇住宅,＜100,＞1＜3.5,72614
236,郑政出〔2018〕150号（网）,莲花街南、川杨路东,51863.8,城镇住宅（地下交通服务场站用地）,＜100,＞1.1＜3.0,46121
237,郑政出〔2018〕151号（网）,莲花街南、川杨路西,48549.1,城镇住宅（地下交通服务场站用地）,＜80,＞1.1＜2.5,40921
238,郑政东出〔2018〕28号（网）,中道东路东、时埂街北,5843.61,商务金融用地,＜70,＜6.0,7100
239,郑政出〔2018〕146号（网）,书院街南、紫荆山路西,43968.03,零售商业、旅馆、餐饮兼容文化设施,＜12,＜1.0,43695
240,郑上出〔2018〕11号（网）,通航五路东侧、安阳路北侧,93643.23,商业兼容商务,＜45,＜2.5,21670
241,郑上出〔2018〕12号（网）,登封路西侧、白云路南侧,47846.72,城镇住宅兼容商服,＜45,＞1.0；  ＜2.0,13221
242,郑上出〔2018〕13号（网）,汝南路东侧、白云路南侧,50148.08,城镇住宅兼容商服,＜45,＞1.0；  ＜2.0,13856
243,郑上出〔2018〕14号（网）,310国道以南,17792.45,城镇住宅,＜60,＞1.0；  ＜2.0,1894
244,郑上出〔2018〕15号（网）,310国道以南,21529.83,商业,＜40,＜1.8,2830
245,郑政出〔2018〕144号（网）,洛河路北、文化宫路东,16426.66,城镇住宅,＜120,＞1.1， ＜5.1,28571
246,郑政出〔2018〕145号（网）,中原路南、文化宫路东,18899.23,商务金融兼容零售商业、餐饮、旅馆,＜300,＜10.7,44241
247,郑政出〔2018〕141号（网）,航海中路南、淮南街东,31844.71,城镇住宅兼容零售商业、餐饮、旅馆、商务金融（地下：交通服务场站）,＜150,＞1.1，＜6.7,52313
248,郑政出〔2018〕142号（网）,大学南路东、张魏寨路南,33258.73,城镇住宅（地下：交通服务场站）,＜120,＞1.1，＜5.7,49330
249,郑政出〔2018〕143号（网）,岗南路南、岗东路西,48358.11,城镇住宅,＜100,＞1.0，＜3.5,44746
250,郑政出〔2018〕137号（网）,夏璜街北、夏至路西,49045.59,城镇住宅（地下交通服务场站）,＜100,＞1.1，＜2.5,44572
251,郑政出〔2018〕138号（网）,夏璜街南、夏至路东,39793.43,城镇住宅（地下交通服务场站）,＜60,＞1.1，＜2,33975
252,郑政出〔2018〕139号（网）,思勤江路南、立夏路西,38830.57,城镇住宅（地下交通服务场站）,＜60,＞1.1，＜2,33129
253,郑政出〔2018〕140号（网）,夏璜街北、夏至路东,22718.37,文化设施用地（地下交通服务场站）,＜40,＜1,4619
254,郑政东出〔2018〕26号（网）,如意河东七街南、龙翔三街西,地上163833.94㎡、地下145220.66㎡,城镇住宅用地、教育用地,＜24,＜1.193,343329
255,郑政东出〔2018〕16号（网）,商鼎路南、圃田西路东,73927.17,地上：商服用地（商务金融、零售商业、批发市场、餐饮、旅馆）地下：商服用地（零售商业、批发市场、餐饮、旅馆）、交通服务场站用地,北侧≤150米，南侧≤100米,＜5.8,98900
256,郑政出〔2018〕134号（网）,站马屯路南、紫荆山南路西,89541.61,城镇住宅,＜100,＞1.0，＜3.5,78815
257,郑政出〔2018〕135号（网）,英才街北、田园路西,40419.16,城镇住宅,＜94,＞1.1，＜3.5,39029
258,郑政出〔2018〕125号（网）,石化路南、魏庄西街东,16226.41,城镇住宅,＜100,＞1.1，＜4.2,21807
259,郑政出〔2018〕126号（网）,魏庄街南、魏庄东街西,38813.1,城镇住宅,＜100,＞1.1，＜4.5,52845
260,郑政出〔2018〕127号（网）,马林西路西、杨金路北,45734.92,城镇住宅,＜50,＞1.1，＜2.5,39740
261,郑政出〔2018〕128号（网）,皓月路南、雪松路西,33764.82,城镇住宅,＜60,＞1.1，＜2.0,25241
262,郑政出〔2018〕129号（网）,凤凰路南、规划三路西,4094.89,城镇住宅,＜65,＞1.1，＜2.4,4929
263,郑政出〔2018〕130号（网）,凤凰路南、规划一路西,3078.72,城镇住宅,＜55,＞1.1，＜2.7,3938
264,郑政出〔2018〕131号（网）,宝溪路西南、永康路东南,13415.72,城镇住宅,＜80,＞1.0，＜3.0,11724
265,郑政出〔2018〕132号（网）,盛达路西南、永康路东南,41887.64,城镇住宅,＜100,＞1.0，＜3.5,38495
266,郑政出〔2018〕120号（网）,豫一路南、合展路东,97225.98,城镇住宅,＜100,＞1.0，＜3.5,92122
267,郑政出〔2018〕121号（网）,幸运路南、丰硕南街东,14646.68,零售商业、餐饮、旅馆,＜40,＜2.2,11432
268,郑政出〔2018〕122号（网）,河村中街西、新城北路南,67230.84,城镇住宅,＜50,＞1.1，＜2.5,61019
269,郑政出〔2018〕123号（网）,杨槐东路东、新城北路南,26255.76,商务金融兼容零售商业、餐饮、旅馆,＜50,＜4.2,26907
270,郑政出〔2018〕124号（网）,东风路北、信息学院路西,4631.21,商务金融兼容零售商业、餐饮、旅馆,＜100,＜4.0,6690
271,郑政出〔2018〕119号（网）,幸运路南、天山路西,40941.43,城镇住宅,＜60,＞1.0，＜2.5,32648
272,郑上出〔2018〕07号（网）,金华路东侧、规划漓江路南侧,40954.03,城镇住宅、商服,＜80,＞1.0；  ＜2.5,19658
273,郑上出〔2018〕08号（网）,金华路以东、规划漓江路南侧,41786.63,城镇住宅、商服,＜80,＞1.0；  ＜2.5,20058
274,郑上出〔2018〕09号（网）,金华路东侧、规划丹江路南侧,60081.36,城镇住宅、商服,＜80,＞1.0；  ＜2.5,28840
275,郑政出〔2018〕112号（网）,小李庄路南、明月路西,21934.86,城镇住宅,＜80,＞1.1，＜3.0,17862
276,郑政出〔2018〕113号（网）,金城大道南、经三街西,14892.94,商务金融,＜29-35,＜2.5,11400
277,郑政出〔2018〕114号（网）,豫二路北、白玉路东,33657.03,城镇住宅,＜80,＞1.0，＜3.0,27610
278,郑政出〔2018〕115号（网）,豫二路北、香江路东,29484.62,城镇住宅,＜80,＞1.0，＜3.0,24188
279,郑政出〔2018〕116号（网）,十八里河路南、飞达路西,32497.91,城镇住宅,＜100,＞1.1，＜3.0,28296
280,郑政出〔2018〕117号（网）,大河路南、天河路东,60779.86,城镇住宅,＜100,＞1.1，＜3.3,54982
281,郑政出〔2018〕118号（网）,新兴街南、机关路西,32614.76,城镇住宅,＜80,＞1.1，＜2.7,27250
282,郑政经开出[2018]029号（网）,四海路以南、信通南街（规划路名信通街）以西,83525.75,物流仓储用地,仓储建筑＜40，非生产性建筑＜80,＞1.6,4550
283,郑政出〔2018〕111号（网）,丰产路北、政七街西,52192.13,商务金融兼容零售商业、餐饮、旅馆城镇住宅,＜140,＞1.0，＜6.9,112165
284,郑政出〔2018〕109号（网）,星海路南、站前大道东,33930.88,城镇住宅,＜100,＞1.1，＜3.8,27376
285,郑政出〔2018〕110号（网）,辅道南路南、站前大道西,29730.3,城镇住宅,＜100,＞1.1，＜3.5,23306
286,郑政出〔2018〕107号（网）,杓袁北路北、杓袁东路东,41309.62,城镇住宅,＜48,＞1.1，＜2.5,37336
287,郑政出〔2018〕108号（网）,杓袁北路南、杓袁东路东,10914.37,城镇住宅,＜56,＞1.1，＜3.0,10358
288,郑政东出〔2018〕22号（网）,如意河西二街北、如意西路西,51250.54,城镇住宅,＜18,＞1.0；  ＜1.5,127000
289,郑政东出〔2018〕23号（网）,龙湖内环东路南、春蕾街东,45504.68,城镇住宅,＜24,＞1.0；  ＜1.7,116000
290,郑政出〔2018〕106号（网）,国泰北路北、中州大道西,44215.14,城镇住宅兼容零售商业、餐饮、旅馆,＜100,＞1.1，＜5.0,66300
291,郑政出〔2018〕105号（网）,冉屯北路东、农业路北,4290.6,零售商业、餐饮、旅馆、商务金融、其他商服兼容娱乐用地,＜100,＜5.5,5901
292,郑政出〔2018〕104号（网）,贺江路南、紫荆山南路东,69679.74,城镇住宅、零售商业、餐饮、旅馆,＜100,＞1.0，＜3.5,63132
293,郑上出〔2018〕05号（网）,孟津路东侧、龙江路南侧,65970.65,城镇住宅、商服,＜80,＞1.0；  ＜2.5,29687
294,郑上出〔2018〕06号（网）,汝南路西侧、龙江路南侧,39180.49,城镇住宅,＜80,＞1.0；  ＜2.5,17632
295,郑政出〔2018〕102号（网）,景怡路北、经三街西,21240.28,商务金融,＜40～47,＜2.5,16258
296,郑政出〔2018〕103号（网）,贺江路南、春晓路东,27675.03,城镇住宅,＜100,＞1.0，＜3.5,24393
297,郑政东出〔2018〕17号（网）,莲湖路北、博学路西,60393.26,商服用地,北侧≤150米，南侧≤100米,＜6.3,83000
298,郑政出〔2018〕100号（网）,绿源路南、天佑街东,46421.43,城镇住宅,＜40,＞1.0，＜2.0,30815
299,郑政出〔2018〕101号（网）,石化路南、二里岗街西,14872.8,城镇住宅,＜100,＞1.1，＜5.4,21017
300,郑政出〔2018〕98号（网）,金樽路东、绿达路北,44426.12,城镇住宅,＜40,＞1.1，＜1.8,24164
301,郑政出〔2018〕99号（网）,南北大街东、新城路南,31005.38,零售商业、批发市场、餐饮、旅馆、商务金融,＜80,＜3.5,27096
302,郑政东出〔2018〕18号（网）,龙腾二街东、如意河西二街南,68818.90,城镇住宅,＜20,＞1.0；  ＜1.5,192000
303,郑政东出〔2018〕19号（网）,如意河东二街南、九如路西,51922.88,城镇住宅,＜20,＞1.0；  ＜1.5,145000
304,郑政东出〔2018〕18号（网）,龙腾二街东、如意河西二街南,68818.90,城镇住宅,＜20,＞1.0；  ＜1.5,192000
305,郑政东出〔2018〕19号（网）,如意河东二街南、九如路西,51922.88,城镇住宅,＜20,＞1.0；  ＜1.5,145000
306,郑政出〔2018〕96号（网）,桐柏路西、医院南路北,30641.09,城镇住宅、零售商业、餐饮、旅馆,＜100,＞1.0，＜4.0,32295
307,郑政出〔2018〕97号（网）,幸运路南、胖庄路西,49161.45,城镇住宅,＜100,＞1.1，＜3.0,40023
308,郑政出〔2018〕93号（网）,二里岗南街南、魏庄西街东,20648.69,城镇住宅,＜100,＞1.1，＜5.0,28258
309,郑政出〔2018〕94号（网）,石化路南、城东路东,20106.5,城镇住宅、零售商业、餐饮、旅馆、商务金融,＜100,＞1.1，＜5.0,28128
310,郑政出〔2018〕95号（网）,二里岗南街南、魏庄西街西,11503.84,城镇住宅、零售商业、餐饮、旅馆,＜100,＞1.1，＜4.5,15404
311,郑政出〔2018〕92号（网）,二里岗南街南、未来路西,23563.05,城镇住宅,＜100,＞1.1，＜4,29761
312,郑政出〔2018〕91号（网）,豫五路北、富国路东,48705.73,城镇住宅,＜60,＞1.0，＜2.5,36715
313,郑政经开出[2018]034号（网）,凤栖街以东、傲雪路以南、花溪街以西、美辰路以北,236556.91,仓储用地,仓储建筑＜40，非生产性建筑＜80,＞1.6,11690
314,郑政经开出[2018]035号（网）,凤栖街以东、美辰路以南、花溪街以西、兰心东路以北,241289.41,仓储用地,仓储建筑＜40，非生产性建筑＜80,＞1.6,11920
315,郑政出〔2018〕82号（网）,冉屯北路东、农业路北,12478.77,城镇住宅、零售商业、餐饮、旅馆商务金融、其他商服,＜100,＞1.0，＜5.5,16904
316,郑政出〔2018〕83号（网）,支四路以南、图强路以东,32548.97,城镇住宅,＜100,＞1.1，＜4.1,27918
317,郑政出〔2018〕84号（网）,郑上南辅道南、爱民东路东,36637.99,城镇住宅、商务金融,＜100,＞1.1，＜5.5,35859
318,郑政出〔2018〕85号（网）,健民路北、站前西路东,12784.16,商务金融、零售商业、餐饮、旅馆,＜100,＞1.0，＜4.5,11355
319,郑政出〔2018〕86号（网）,支四路以南、支十一路以西,10211.67,城镇住宅,＜100,＞1.1，＜4.6,9383
320,郑政出〔2018〕87号（网）,西三环北延东、宏达街北,67773.29,城镇住宅,＜100,＞1.0，＜4,57133
321,郑政出〔2018〕88号（网）,凤梨路西、宏达街北,56690.87,城镇住宅,＜100,＞1.0，＜4,47774
322,郑政出〔2018〕89号（网）,滨河路北、江山路东,50091.16,城镇住宅,＜100,＞1.0，＜3.6,41766
323,郑政出〔2018〕90号（网）,豫六路北、魏河东路东,64045.44,城镇住宅,＜100,＞1.0，＜3.5,53059
324,郑政出〔2018〕70号（网）,滨河路北、天山南路东,56972.98,城镇住宅,＜100,"＞1.0,＜3.5",47168
325,郑政出〔2018〕75号（网）,秋罗路东、紫苏街北,27787.11,城镇住宅,＜90,＞1.1，＜3.1,19313
326,郑政出〔2018〕76号（网）,紫苏街南、秋罗路东,41388.57,城镇住宅,＜90,＞1.1，＜2.5,26833
327,郑政出〔2018〕77号（网）,落樱街北、黄椰路东,38382.24,城镇住宅,＜90,＞1.1，＜2.5,24884
328,郑政出〔2018〕78号（网）,落樱街北、长椿路西,11416.27,零售商业、餐饮、旅馆,＜80,＜3.5,8613
329,郑政出〔2018〕79号（网）,颍河西路南、石羊路西,80734.31,城镇住宅、商务金融,＜100,＞1.1，＜5.5,109346
330,郑政出〔2018〕80号（网）,郑湾路南、西三环西,41824.13,城镇住宅、商务金融,＜100,＞1.1，＜5.5,57239
331,郑政出〔2018〕81号（网）,胡杨路东、落樱街北,83616.1,城镇住宅,＜80,＞1.1，＜2.5,54234
332,郑政出〔2018〕71号（网）,南阳路东、博颂路北,11829.03,商务金融、零售金融、餐饮、旅馆、城镇住宅,＜100,＞1，＜5,16560
333,郑政出〔2018〕72号（网）,化工路南、雄鹰东路东,35078.67,城镇住宅,＜100,＞1.1，＜3.5,29909
334,郑政出〔2018〕73号（网）,站北街北、湖西路西,38038.29,城镇住宅,＜100,＞1.1，＜3.5,32459
335,郑政出〔2018〕74号（网）,绿荫路东、新庄路北,28708.29,城镇住宅,＜100,＞1.1，＜3.0,23208
336,郑政出〔2018〕66号（网）,鸿业路北、任庄路西,52314.14,城镇住宅,＜85,＞1.1，＜2.4,38237
337,郑政出〔2018〕67号（网）,鸿业路北、任庄路东,53127.33,城镇住宅,＜88,＞1.1，＜2.5,39251
338,郑政出〔2018〕68号（网）,香苑路南、金河路西,35426.97,城镇住宅,＜100,＞1.1，＜3.0,28579
339,郑政出〔2018〕69号（网）,国基路北、黄家庵北路东,5271.6,商务金融兼容零售商业、餐饮、旅馆,＜100,＜5.5,7617
340,郑政出〔2018〕65号（网）,开元路北、天山路东,25111.39,娱乐、其他商服兼容零售商业、批发市场、餐饮、旅馆,＜100,＜2.3,18538
341,郑政出〔2018〕64号（网）,绿源路南、丰茂街东,76813.62,城镇住宅,＜40,＞1.0，＜2.0,49783
342,郑政出〔2018〕63号（网）,丰产路南、政六街西,6369.26,城镇住宅,＜100,＞1.1，＜5,11963
343,郑政东出〔2018〕5号（网）,龙湖中环北路北、龙津路东,67694.81,商服用地,＜45,＜3.0,84700
344,郑政东出〔2018〕6号（网）,龙湖中环南路北、如意西路西,地上：24171.45地下：24796.63,商服用地,＜18,＜1.7,30700
345,郑政东出〔2018〕7号（网）,如意西路东、如意河西八街南,11775.14,商务金融用地,=45,＜3.5,15800
346,郑政东出〔2018〕8号（网）,动力南路南、圃田西路东,22155.97,商服用地,≤45,＜4.0,26600
347,郑政东出〔2018〕9号（网）,动力南路南、嘉园路东,25254.80,商服用地,≤45,＜4.6,32200
348,郑政东出〔2018〕10号（网）,道东街北、圃田西路东,6372.58,商服用地,≤100,＜6.0,8700
349,郑政东出〔2018〕11号（网）,道东街北、嘉园路西,7239.82,商服用地,≤100,＜6.0,9900
350,郑政东出〔2018〕12号（网）,道东街北、嘉园路东,7239.84,商服用地,≤100,＜6.0,9900
351,郑政东出〔2018〕13号（网）,商鼎路北、嘉园路西,16026.76,商服用地,≤150,＜9.0,26000
352,郑政东出〔2018〕14号（网）,商鼎路北、嘉园路东,18992.83,商服用地,≤150,＜9.0,30900
353,郑政东出〔2018〕15号（网）,商鼎路北、嘉园东三街东,8925.60,商服用地,≤150,＜8.0,14000
354,郑政经开出[2018]011号,兰心东路以南、鹏程大道以西、蓝湖街以东、浔江东路以北,163896.11,工业用地,生产性建筑＜40，非生产性建筑＜80,＞1.0,8530
355,郑政经开出[2017]075号（网）,经南十一路南、经开第十七大街东,43056.16,城镇住宅兼容批发零售、住宿餐饮用地,＜100,＞1.0；  ＜2.5,77600
356,郑政经开出〔2018〕021号,经开第三大街以西、机场高速以东,4218.30,工业用地,＜80,＞1.0,290
357,郑政经开出〔2018〕022号,南三环以南、经开第三大街以东,16980.03,工业用地,＜80,＞1.0,1160
358,郑政经开出〔2018〕014号,经南十六路以南、京珠东环路以东,34091.69,工业用地,生产性建筑高度＜40米、非生产性建筑高度＜100米,＞1.2、＜1.8,2120
359,郑政经开出〔2018〕015号,经南十五路以南、经开第二十二大街以西,33307.27,工业用地,生产性建筑高度＜40米、非生产性建筑高度＜100米,＞1.2、＜1.8,2070
360,郑政经开出〔2018〕016号,经南十六路以北、经开第二十一大街以东,19570.56,工业用地,生产性建筑高度＜40米、非生产性建筑高度＜100米,＞1.2、＜1.8,1220
361,郑政经开出〔2018〕017号,经南十三路以南、经开第二十一大街以东,26670.20,工业用地,生产性建筑高度＜40米、非生产性建筑高度＜100米,＞1.2、＜1.8,1660
362,郑政经开出〔2018〕018号,经南十三路以南、经开第二十二大街以西,19999.98,工业用地,生产性建筑高度＜40米、非生产性建筑高度＜100米,＞1.2、＜1.8,1250
363,郑政经开出〔2018〕019号,经南十七路以南、经开第二十二大街以西,66382.04,工业用地,生产性建筑高度＜40米、非生产性建筑高度＜100米,＞1.2、＜1.8,4120
364,郑政东出[2018]3号（网）,如意东路西、如意河东三街南,11371.15,商务金融,=45,＜3.5,15400
365,郑政东出[2018]4号（网）,七里河南路南、圃田西路东,6998.18,商服,145-150,＜8.0,11000
366,郑政经开出〔2018〕002号（网）,锦瑞路（规划路名锦绣大道）以南、龙善街以东、嬉雨西路（规划路名嬉雨路）以北,14334.58,零售商业用地、批发市场用地、餐饮用地、旅馆用地,＜60,＜3.0,6960
367,郑政出〔2018〕59号（网）,春晓路东、赣江路南,45534.82,城镇住宅,＜100,＞1.0，＜4.9,48195
368,郑政出〔2018〕60号（网）,连云路西、赣江路北,8839.14,商服,＜12,＜1.5,6046
369,郑政出〔2018〕61号（网）,环保北路北、化肥西路西,15608.55,城镇住宅、批发零售、住宿餐饮,＜60,＞1.0，＜1.64,12044
370,郑政出〔2018〕53号（网）,紫荆山南路东、赣江路南,20909.08,城镇住宅,＜100,＞1.0，＜4.9,22131
371,郑政出〔2018〕54号（网）,长江路南、丘寨路东,19199.97,商服、城镇住宅,＜100,＜6.0,22653
372,郑政出〔2018〕55号（网）,丘寨路西、赣江路北,50965.7,城镇住宅,＜80,＞1.0，＜4.2,49876
373,郑政出〔2018〕56号（网）,丰产路南、政六街西,5619.87,城镇住宅,＜100,＞1.1，＜5.6,10982
374,郑政出〔2018〕57号（网）,黎明路北、电厂路东,42402.74,城镇住宅,＜100,＞1.0，＜4.43,46957
375,郑政出〔2018〕58号（网）,五龙口南路南、化肥西路东,34996.29,城镇住宅,＜100,＞1.0，＜4.63,41643
376,郑政出〔2018〕136号（网）,合欢街北、银屏路东,12161.64,零售商业、餐饮、旅馆兼容城镇住宅,＜100,＞1.0，＜3.2,11238